entry_date,demand_actual,demand_forecast
2016-01-04 00:30:00,4590.7,4686
2016-01-04 01:00:00,4497.4,4574.9
2016-01-04 01:30:00,4411.2,4464.7
2016-01-04 02:00:00,4353.6,4404.3
2016-01-04 02:30:00,4314.2,4350.7
2016-01-04 03:00:00,4272,4309.6
2016-01-04 03:30:00,4266,4288.5
2016-01-04 04:00:00,4246.7,4265.3
2016-01-04 04:30:00,4250.5,4275.2
2016-01-04 05:00:00,4284.9,4281
2016-01-04 05:30:00,4349.6,4331.6
2016-01-04 06:00:00,4483.8,4468.3
2016-01-04 06:30:00,4718.1,4659.5
2016-01-04 07:00:00,4894.7,4844.7
2016-01-04 07:30:00,5082.3,5047.5
2016-01-04 08:00:00,5294.6,5282.5
2016-01-04 08:30:00,5613.9,5614
2016-01-04 09:00:00,5854.4,5841.6
2016-01-04 09:30:00,6046,6013.5
2016-01-04 10:00:00,6151.9,6121.9
2016-01-04 10:30:00,6260.1,6234.5
2016-01-04 11:00:00,6308.2,6303.8
2016-01-04 11:30:00,6324.6,6347.9
2016-01-04 12:00:00,6304.6,6311
2016-01-04 12:30:00,6229.2,6233.4
2016-01-04 13:00:00,6226,6220.7
2016-01-04 13:30:00,6292,6270.5
2016-01-04 14:00:00,6336.3,6322.6
2016-01-04 14:30:00,6340.3,6347.3
2016-01-04 15:00:00,6316.2,6341.1
2016-01-04 15:30:00,6294.4,6309.2
2016-01-04 16:00:00,6281.4,6299
2016-01-04 16:30:00,6277.4,6293.4
2016-01-04 17:00:00,6247.6,6266.7
2016-01-04 17:30:00,6209.6,6221.3
2016-01-04 18:00:00,6136,6121.2
2016-01-04 18:30:00,5989.4,5976.2
2016-01-04 19:00:00,5962,5979.2
2016-01-04 19:30:00,5984.2,6007.9
2016-01-04 20:00:00,5969.8,5977.1
2016-01-04 20:30:00,5942,5925.4
2016-01-04 21:00:00,5901.5,5872.2
2016-01-04 21:30:00,5840.3,5814.6
2016-01-04 22:00:00,5713.3,5720.3
2016-01-04 22:30:00,5528.2,5560.8
2016-01-04 23:00:00,5367.9,5396.7
2016-01-04 23:30:00,5207.2,5240.2
2016-01-05 00:30:00,4895.9,4874.5
2016-01-05 01:00:00,4780.5,4754
2016-01-05 01:30:00,4685.6,4697.3
2016-01-05 02:00:00,4624.6,4609.5
2016-01-05 02:30:00,4578.8,4552.7
2016-01-05 03:00:00,4543.3,4528.2
2016-01-05 03:30:00,4503.5,4498.2
